;meanBlue;meanRed;sdBlue;skewnessBlue;dfRG;dfRB;dfGB;entropyBlue;energyBlue;contrastBlue;homogeneityBlue;coverage;cloudType
581;153,0608521;122,1443481;58,68989271;-0,93251947;-38,69555664;-30,91650391;7,779052734;-6,128190115;0,00475442;4,4618;0,719562604;0,431518555;2
582;140,5261841;121,8129272;55,19462434;-0,715603789;-32,97686768;-18,71325684;14,26361084;-5,756147915;0,00376753;5,3202;0,664469622;0,645568848;2
583;169,1094971;130,7325439;56,82885799;-1,483461743;-36,98028564;-38,37695313;-1,39666748;-5,957638943;0,00484855;6,6174;0,659293044;0,189147949;2
584;162,3843994;128,5305786;56,6967495;-1,532743526;-35,21783447;-33,8538208;1,364013672;-5,861856422;0,00371151;8,6418;0,637559565;0,435974121;2
585;174,8449707;142,9675903;59,53201599;-1,812408749;-34,95062256;-31,87738037;3,073242188;-6,488860687;0,00373663;18,4394;0,636111883;0,565063477;2
586;154,5394897;97,44506836;58,47403565;-0,556934198;-45,27514648;-57,09442139;-11,8192749;-5,641748309;0,00549596;6,9172;0,692526603;0,176757813;2
587;152,7803955;119,2297363;53,79979495;-0,71100259;-32,26519775;-33,55065918;-1,285461426;-5,973071495;0,00373287;7,2208;0,64832441;0,356933594;2
588;153,0953979;117,9893188;51,20616779;-1,022255051;-33,24493408;-35,1060791;-1,86114502;-5,91335785;0,00448171;5,5796;0,664425007;0,282958984;2
589;165,3496704;134,3415527;56,05833523;-0,956315076;-28,99047852;-31,00811768;-2,01763916;-5,774504084;0,00556264;4,9288;0,67882135;0,407531738;2
590;161,4401245;138,973999;57,65806568;-1,340854513;-31,17694092;-22,46612549;8,71081543;-5,503938826;0,00581017;3,5618;0,712622139;0,676940918;2
591;162,5562134;140,1223145;58,25961749;-1,302733778;-31,27172852;-22,43389893;8,83782959;-5,782502843;0,00385248;8,8412;0,659552783;0,78326416;2
592;149,7182617;95,43182373;52,71620071;-0,734189385;-41,12359619;-54,28643799;-13,1628418;-5,943233021;0,00347295;8,0562;0,653140782;0,164001465;2
593;153,9580688;119,5393066;54,72857553;-1,077086586;-36,2822876;-34,41876221;1,863525391;-5,647434395;0,00595975;2,5986;0,716347382;0,311096191;2
594;144,5430908;117,2931519;54,27152394;-0,844854068;-37,21166992;-27,24993896;9,961730957;-5,558365761;0,00972135;3,7288;0,740256114;0,354858398;2
595;139,383667;116,0955811;51,91929242;-0,738597907;-28,77502441;-23,28808594;5,486938477;-5,764141512;0,00366823;6,2182;0,666915847;0,681518555;2
596;146,9935913;116,1945801;46,98782145;-1,323593952;-33,28167725;-30,79901123;2,482666016;-5,59441526;0,00544503;3,2784;0,700995568;0,553466797;2
597;155,3029785;115,2246094;50,54082183;-1,126140677;-35,51177979;-40,07836914;-4,566589355;-5,814051334;0,00474369;4,5304;0,689453954;0,234741211;2
598;163,1444702;137,9595337;53,13024833;-1,676128107;-31,83984375;-25,18493652;6,654907227;-5,652646277;0,00444825;5,8328;0,667242873;0,716430664;2
599;156,8362427;127,7870483;57,52030509;-0,981215094;-35,98431396;-29,04919434;6,935119629;-5,538677853;0,00666293;4,4918;0,681131134;0,434020996;2
600;148,2851563;125,0113525;54,81951423;-0,457872862;-29,44140625;-23,27380371;6,167602539;-5,595358521;0,00563637;4,8294;0,68640652;0,601989746;2
